Month,Payment,Principal Paid,Interest Paid,Balance,Rate,Strategy
2,5284.667520195235,1948.3900365880954,3336.27748360714,996109.7105615538,4.045,50/50 Split
3,5284.667520195235,1954.9023696616357,3329.7651505336,994154.8081918922,4.045,50/50 Split
4,5284.667520195235,1961.4364736299992,3323.2310465652363,992193.3717182621,4.045,50/50 Split
5,5284.667520195235,1967.9924212870708,3316.6750989081647,990225.3792969751,4.045,50/50 Split
6,5284.667520195235,2076.0486718481516,3208.6188483470837,988149.330625127,3.92,50/50 Split
7,5284.667520195235,2082.7707202178335,3201.8967999774018,986066.5599049091,3.92,50/50 Split
8,5284.667520195235,2089.514540769112,3195.1529794261232,983977.0453641401,3.92,50/50 Split
9,5284.667520195235,2096.28020404249,3188.3873161527454,981880.7651600975,3.92,50/50 Split
10,5284.667520195235,2103.067780807088,3181.599739388147,979777.6973792904,3.92,50/50 Split
11,5284.667520195235,2109.8773420613866,3174.7901781338487,977667.820037229,3.92,50/50 Split
12,5284.667520195235,2216.949520009134,3067.718000186101,975450.8705172199,3.795,50/50 Split
13,5284.667520195235,2223.875659335272,3060.7918608599634,973226.9948578846,3.795,50/50 Split
14,5284.667520195235,2230.8234934651696,3053.8440267300657,970996.1713644194,3.795,50/50 Split
15,5284.667520195235,2237.793090530691,3046.8744296645446,968758.3782738887,3.795,50/50 Split
16,5284.667520195235,2244.7845188782208,3039.8830013170145,966513.5937550105,3.795,50/50 Split
17,5284.667520195235,2251.7978470693424,3032.8696731258924,964261.7959079412,3.795,50/50 Split
18,5284.667520195235,2357.6837785586686,2926.9837416365663,961904.1121293826,3.67,50/50 Split
19,5284.667520195235,2364.763807224441,2919.903712970794,959539.348322158,3.67,50/50 Split
20,5284.667520195235,2371.865257155789,2912.802263039446,957167.4830650022,3.67,50/50 Split
21,5284.667520195235,2378.9881936524926,2905.6793265427423,954788.4948713498,3.67,50/50 Split
22,5284.667520195235,2386.1326822148635,2898.534837980372,952402.3621891349,3.67,50/50 Split
23,5284.667520195235,2393.2987885443645,2891.3687316508704,950009.0634005906,3.67,50/50 Split
24,5284.667520195235,2497.7955708436702,2786.871949351565,947511.2678297469,3.545,50/50 Split
25,5284.667520195235,2504.978392816268,2779.689127378968,945006.2894369307,3.545,50/50 Split
26,5284.667520195235,2512.1821957557286,2772.485324439507,942494.1072411749,3.545,50/50 Split
27,5284.667520195235,2519.4070419056425,2765.2604782895933,939974.7001992692,3.545,50/50 Split
28,5284.667520195235,2526.652993697033,2758.014526498203,937448.0472055722,3.545,50/50 Split
29,5284.667520195235,2533.920113748928,2750.7474064463067,934914.1270918234,3.545,50/50 Split
30,5284.667520195235,2541.208464868938,2743.459055326298,932372.9186269543,3.545,50/50 Split
31,5284.667520195235,2548.5181100538252,2736.14941014141,929824.4005169005,3.545,50/50 Split
32,5284.667520195235,2555.849112490088,2728.8184077051474,927268.5514044105,3.545,50/50 Split
33,5284.667520195235,2563.2015355545363,2721.4659846406985,924705.3498688559,3.545,50/50 Split
34,5284.667520195235,2570.575442814875,2714.092077380361,922134.774426041,3.545,50/50 Split
35,5284.667520195235,2577.9708980302835,2706.696622164952,919556.8035280107,3.545,50/50 Split
36,5284.667520195235,2585.3879651520065,2699.2795550432284,916971.4155628587,3.545,50/50 Split
37,5095.671027074919,2703.92736459305,2391.7436624818693,914267.4881982657,3.15,50/50 Split
38,5095.671027074919,2710.967577689754,2384.7034493851647,911556.5206205759,3.15,50/50 Split
39,5095.671027074919,2718.0261259077297,2377.6449011671893,908838.4944946682,3.15,50/50 Split
40,5095.671027074919,2725.1030570097164,2370.567970065202,906113.3914376583,3.15,50/50 Split
41,5095.671027074919,2732.1984188829074,2363.472608192011,903381.1930187754,3.15,50/50 Split
42,5095.671027074919,2739.3122595392715,2356.3587675356475,900641.8807592362,3.15,50/50 Split
43,5095.671027074919,2746.444627115879,2349.2263999590396,897895.4361321204,3.15,50/50 Split
44,5095.671027074919,2753.5955698752286,2342.07545719969,895141.8405622451,3.15,50/50 Split
45,5095.671027074919,2760.765136205574,2334.905890869345,892381.0754260395,3.15,50/50 Split
46,5095.671027074919,2767.953374621249,2327.7176524536694,889613.1220514183,3.15,50/50 Split
47,5095.671027074919,2775.160333763002,2320.5106933119164,886837.9617176553,3.15,50/50 Split
48,5095.671027074919,2782.386062398319,2313.284964676599,884055.575655257,3.15,50/50 Split
49,5095.671027074919,2789.630609421758,2306.04041765316,881265.9450458352,3.15,50/50 Split
50,5095.671027074919,2796.8940238552786,2298.7770032196395,878469.0510219799,3.15,50/50 Split
51,5095.671027074919,2804.176354848575,2291.494672226344,875664.8746671313,3.15,50/50 Split
52,5095.671027074919,2811.4776516794072,2284.193375395511,872853.3970154519,3.15,50/50 Split
53,5095.671027074919,2818.7979637539374,2276.8730633209816,870034.599051698,3.15,50/50 Split
54,5095.671027074919,2826.1373406070616,2269.533686467857,867208.461711091,3.15,50/50 Split
55,5095.671027074919,2833.4958319027483,2262.175195172171,864374.9658791882,3.15,50/50 Split
56,5095.671027074919,2840.873487434372,2254.797539640547,861534.0923917538,3.15,50/50 Split
57,5095.671027074919,2848.270357125052,2247.400669949867,858685.8220346287,3.15,50/50 Split
58,5095.671027074919,2855.686491027991,2239.984536046927,855830.1355436007,3.15,50/50 Split
59,5095.671027074919,2863.121939326814,2232.549087748105,852967.0136042739,3.15,50/50 Split
60,5095.671027074919,2870.5767523359045,2225.094274739014,850096.436851938,3.15,50/50 Split
