Month,Payment,Principal Paid,Interest Paid,Balance,Rate,Strategy
21,3153.786498524865,1058.6756184340502,2095.1108800908146,650466.1811329359,3.8899999999999997,Full Fixed
22,3153.786498524865,1062.080005517189,2091.706493007676,649404.1011274187,3.8899999999999997,Full Fixed
23,3153.786498524865,1065.4953401004022,2088.2911584244625,648338.6057873183,3.8899999999999997,Full Fixed
24,3153.786498524865,1068.9216573876065,2084.8648411372583,647269.6841299307,3.8899999999999997,Full Fixed
25,3153.786498524865,1072.358992695923,2081.427505828942,646197.3251372348,3.8899999999999997,Full Fixed
26,3153.786498524865,1075.8073814560435,2077.9791170688213,645121.5177557787,3.8899999999999997,Full Fixed
27,3153.786498524865,1079.2668592125933,2074.5196393122715,644042.2508965662,3.8899999999999997,Full Fixed
28,3153.786498524865,1082.7374616244988,2071.049036900366,642959.5134349416,3.8899999999999997,Full Fixed
29,3153.786498524865,1086.2192244653556,2067.567274059509,641873.2942104763,3.8899999999999997,Full Fixed
30,3153.786498524865,1089.7121836237957,2064.074314901069,640783.5820268525,3.8899999999999997,Full Fixed
31,3153.786498524865,1093.2163751038593,2060.5701234210055,639690.3656517487,3.8899999999999997,Full Fixed
32,3153.786498524865,1096.7318350253636,2057.054663499501,638593.6338167234,3.8899999999999997,Full Fixed
33,3153.786498524865,1100.2585996242783,2053.5278989005865,637493.3752170991,3.8899999999999997,Full Fixed
34,3153.786498524865,1103.7967052530953,2049.9897932717695,636389.578511846,3.8899999999999997,Full Fixed
35,3153.786498524865,1107.3461883812065,2046.4403101436583,635282.2323234648,3.8899999999999997,Full Fixed
36,3153.786498524865,1110.9070855952784,2042.8794129295864,634171.3252378695,3.8899999999999997,Full Fixed
1,3233.623979926233,956.9934684624045,2276.6305114638285,671043.0065315376,4.1000000000000005,Variable (Fixed Payment)
2,3233.623979926233,960.2356121076023,2273.3883678186307,670082.7709194301,4.1000000000000005,Variable (Fixed Payment)
3,3233.623979926233,963.4887396265285,2270.1352402997045,669119.2821798036,4.1000000000000005,Variable (Fixed Payment)
4,3233.623979926233,966.752888230822,2266.871091695411,668152.5292915727,4.1000000000000005,Variable (Fixed Payment)
5,3233.623979926233,970.0280952581916,2263.5958846680414,667182.5011963146,4.1000000000000005,Variable (Fixed Payment)
6,3233.623979926233,1110.0498078513178,2123.574172074915,666072.4513884633,3.85,Variable (Fixed Payment)
7,3233.623979926233,1113.5829837026677,2120.0409962235653,664958.8684047606,3.85,Variable (Fixed Payment)
8,3233.623979926233,1117.1274052940803,2116.4965746321527,663841.7409994665,3.85,Variable (Fixed Payment)
9,3233.623979926233,1120.6831084196056,2112.9408715066274,662721.0578910469,3.85,Variable (Fixed Payment)
10,3233.623979926233,1124.2501289872216,2109.3738509390114,661596.8077620596,3.85,Variable (Fixed Payment)
11,3233.623979926233,1127.828503019197,2105.795476907036,660468.9792590404,3.85,Variable (Fixed Payment)
12,3233.623979926233,1266.9161839515523,1966.7077959746807,659202.0630750889,3.6000000000000005,Variable (Fixed Payment)
