Month,Payment,Principal Paid,Interest Paid,Balance,Rate,Strategy
9,3533.1387512188385,1349.4547978808655,2183.6839533379734,660013.4993848152,3.995,50/50 Split
10,3533.1387512188385,1353.9087395971817,2179.230011621657,658659.590645218,3.995,50/50 Split
11,3533.1387512188385,1358.3773917612064,2174.7613594576324,657301.2132534569,3.995,50/50 Split
12,3533.1387512188385,1362.860802991493,2170.2779482273454,655938.3524504653,3.995,50/50 Split
13,3533.1387512188385,1367.359022067392,2165.7797291514466,654570.9934283979,3.995,50/50 Split
14,3533.1387512188385,1371.872097929579,2161.26665328926,653199.1213304683,3.995,50/50 Split
15,3533.1387512188385,1376.4000796805913,2156.738671538247,651822.7212507877,3.995,50/50 Split
16,3533.1387512188385,1380.9430165853628,2152.1957346334757,650441.7782342024,3.995,50/50 Split
17,3533.1387512188385,1385.500958071762,2147.637793147077,649056.2772761306,3.995,50/50 Split
18,3533.1387512188385,1390.0739537311294,2143.0647974877093,647666.2033223994,3.995,50/50 Split
19,3533.1387512188385,1394.6620533188216,2138.476697900017,646271.5412690807,3.995,50/50 Split
20,3533.1387512188385,1399.2653067547503,2133.8734444640886,644872.2759623259,3.995,50/50 Split
21,3533.1387512188385,1403.883764123931,2129.254987094908,643468.392198202,3.995,50/50 Split
22,3533.1387512188385,1408.517475677026,2124.621275541813,642059.874722525,3.995,50/50 Split
23,3533.1387512188385,1413.1664918308938,2119.972259387945,640646.708230694,3.995,50/50 Split
24,3533.1387512188385,1417.8308631691414,2115.3078880496973,639228.8773675249,3.995,50/50 Split
25,3533.1387512188385,1422.5106404426715,2110.628110776167,637806.3667270822,3.995,50/50 Split
26,3533.1387512188385,1427.2058745702407,2105.932876648598,636379.1608525119,3.995,50/50 Split
27,3533.1387512188385,1431.9166166390114,2101.222134579827,634947.244235873,3.995,50/50 Split
28,3533.1387512188385,1436.6429179051129,2096.495833313726,633510.6013179678,3.995,50/50 Split
29,3533.1387512188385,1441.3848297941968,2091.753921424642,632069.2164881736,3.995,50/50 Split
30,3533.1387512188385,1446.1424039020008,2086.996347316838,630623.0740842717,3.995,50/50 Split
31,3533.1387512188385,1450.91569199491,2082.2230592239284,629172.1583922766,3.995,50/50 Split
32,3533.1387512188385,1455.7047460105236,2077.4340052083153,627716.4536462661,3.995,50/50 Split
33,3533.1387512188385,1460.509618058219,2072.6291331606194,626255.9440282079,3.995,50/50 Split
34,3533.1387512188385,1465.3303604197222,2067.8083907991163,624790.6136677882,3.995,50/50 Split
35,3533.1387512188385,1470.1670255496779,2062.971725669161,623320.4466422384,3.995,50/50 Split
36,3533.1387512188385,1475.0196660762203,2058.119085142618,621845.4269761622,3.995,50/50 Split
